insee_dep,sites_demandes,sites_mes,sites_6_mois,sites_6_24_mois,sites_attente_deploiement,taux_deploiement,pop_15_29,pop_totale,part_jeunes
01,5,4,0,0,1.0,80.0,167034.0,1059920.0,15.759113895388332
02,24,24,0,0,0.0,100.0,136559.0,882430.0,15.475335154063211
03,7,7,0,0,0.0,100.0,114283.0,624032.0,18.31364417209374
04,3,1,0,0,2.0,33.33333333333333,185676.0,1054458.0,17.608667201538612
05,3,2,0,0,1.0,66.66666666666666,18736.0,141826.0,13.210553777163566
06,13,3,0,4,6.0,23.076923076923077,245859.0,1430006.0,17.192864925042272
07,17,5,0,12,0.0,29.411764705882355,45060.0,334451.0,13.472825615710523
08,5,5,0,0,0.0,100.0,41253.0,265865.0,15.51652154288831
09,18,9,0,1,8.0,50.0,21613.0,155760.0,13.875834617360042
10,2,2,0,0,0.0,100.0,53364.0,311170.0,17.149468136388467
11,4,4,0,0,0.0,100.0,2536848.0,12785786.0,19.841157985907163
12,1,1,0,0,0.0,100.0,38053.0,279241.0,13.627296851107108
13,1,1,0,0,0.0,100.0,366730.0,2076707.0,17.659207582003624
14,23,22,0,0,1.0,95.65217391304348,127349.0,706548.0,18.024111596098212
15,9,5,0,4,0.0,55.55555555555556,18844.0,144177.0,13.070045846424879
16,20,20,0,0,0.0,100.0,51750.0,351023.0,14.742623702720334
17,34,33,0,0,1.0,97.05882352941177,94504.0,672443.0,14.05383058489716
18,11,10,0,0,1.0,90.9090909090909,43333.0,298404.0,14.521588182464043
19,1,1,0,0,0.0,100.0,34138.0,239911.0,14.229443418601065
21,7,5,0,0,2.0,71.42857142857143,104662.0,538080.0,19.451011002081476
22,32,20,0,9,3.0,62.5,86946.0,611258.0,14.22410831432881
23,3,2,0,1,0.0,66.66666666666666,14236.0,114940.0,12.385592483034626
24,38,21,0,14,3.0,55.26315789473685,470110.0,2998387.0,15.678763281724473
25,15,10,0,0,5.0,66.66666666666666,102015.0,549462.0,18.566343077410266
26,5,2,0,2,1.0,40.0,78823.0,522454.0,15.087069866438002
27,9,8,0,0,1.0,88.88888888888889,548354.0,3401767.0,16.11968133032039
28,2,2,0,0,0.0,100.0,628935.0,3772654.0,16.67089004186443
29,37,16,0,9,12.0,43.24324324324324,147728.0,930710.0,15.872613381182108
2A,7,4,0,0,3.0,57.14285714285714,21897.0,168277.0,13.01247348122441
2B,9,7,0,0,2.0,77.77777777777779,29109.0,185989.0,15.650925592373744
30,8,6,0,0,2.0,75.0,118870.0,768166.0,15.47451983034917
31,3,3,0,0,0.0,100.0,309742.0,1473299.0,21.023702588544484
32,3,2,0,1,0.0,66.66666666666666,1125371.0,6183114.0,18.200715691154976
33,24,17,0,0,7.0,70.83333333333334,314745.0,1689714.0,18.62711677834237
34,7,4,0,0,3.0,57.14285714285714,227896.0,1229560.0,18.534760402095056
35,19,15,0,2,2.0,78.94736842105263,220556.0,1117647.0,19.73395893336626
36,3,3,0,0,0.0,100.0,29454.0,215578.0,13.662804182244942
37,7,4,0,0,3.0,57.14285714285714,111921.0,617703.0,18.118901802322476
38,8,7,0,0,1.0,87.5,234916.0,1297087.0,18.111044209062307
39,14,7,0,7,0.0,50.0,38099.0,257986.0,14.767855620072407
40,32,26,0,0,6.0,81.25,57653.0,432717.0,13.323488561808293
43,15,13,0,0,2.0,86.66666666666667,32973.0,228034.0,14.459685836322652
44,4,4,0,0,0.0,100.0,1235939.0,7040621.0,17.554403226647196
45,11,9,0,0,2.0,81.81818181818183,118511.0,688539.0,17.21195168320168
46,2,2,0,0,0.0,100.0,21249.0,175858.0,12.083044274357722
47,8,7,0,0,1.0,87.5,47164.0,332080.0,14.202601782702965
48,1,0,0,0,1.0,0.0,11241.0,76471.0,14.699690078591884
49,9,7,0,0,2.0,77.77777777777779,154963.0,830394.0,18.661382428100396
50,54,44,0,1,9.0,81.48148148148148,72315.0,496441.0,14.566685668589017
51,12,12,0,0,0.0,100.0,106095.0,562387.0,18.86512312695706
52,3,3,0,0,0.0,100.0,702496.0,4067278.0,17.27189535605877
53,3,3,0,0,0.0,100.0,618752.0,3744878.0,16.522621030645055
54,16,12,0,1,3.0,75.0,142590.0,731744.0,19.486323085669305
55,26,26,0,0,0.0,100.0,27071.0,179439.0,15.086463923673227
56,36,27,0,6,3.0,75.0,113496.0,780633.0,14.538970297181903
57,17,16,0,1,0.0,94.11764705882352,173499.0,1050692.0,16.512831543401873
58,11,10,0,0,1.0,90.9090909090909,27681.0,201409.0,13.743675803961095
59,2,1,0,0,1.0,50.0,517975.0,2616339.0,19.79770205619379
61,3,1,0,1,1.0,33.33333333333333,40289.0,274742.0,14.664303237218917
62,3,2,0,0,1.0,66.66666666666666,251165.0,1456673.0,17.242373545744307
63,16,12,0,4,0.0,75.0,119180.0,664263.0,17.941688758819925
64,20,9,0,0,11.0,45.0,106355.0,704074.0,15.105656507696635
66,5,4,0,0,1.0,80.0,72125.0,496280.0,14.533126460868864
67,2,0,0,0,2.0,0.0,217827.0,1160728.0,18.76641211377687
68,5,4,0,0,1.0,80.0,122020.0,767160.0,15.905417383596642
70,5,2,0,2,1.0,40.0,33967.0,233293.0,14.559802480142997
71,13,11,0,0,2.0,84.61538461538461,76810.0,547788.0,14.021847868153372
72,3,3,0,0,0.0,100.0,94709.0,565349.0,16.75230698205887
73,7,2,0,2,3.0,28.57142857142857,71935.0,447997.0,16.05702716759264
74,26,9,0,14,3.0,34.61538461538461,138467.0,856707.0,16.16270206733457
76,35,22,0,0,13.0,62.857142857142854,1259459.0,7381511.0,17.06234672006856
78,1,0,0,0,1.0,0.0,266094.0,1477228.0,18.013062303178657
79,16,14,0,3,0.0,87.5,55937.0,375016.0,14.915896921731338
80,13,13,0,0,0.0,100.0,104843.0,563543.0,18.604259124858263
81,2,2,0,0,0.0,100.0,58054.0,397775.0,14.594682923763433
82,4,4,0,0,0.0,100.0,39382.0,265956.0,14.807712553956293
83,7,2,0,0,5.0,28.57142857142857,159429.0,1117572.0,14.265658051561777
85,15,10,0,0,5.0,66.66666666666666,103620.0,711902.0,14.555374194762763
86,36,28,0,4,4.0,77.77777777777779,82316.0,438142.0,18.787516375969435
87,6,2,0,3,1.0,33.33333333333333,62597.0,372083.0,16.82339693025481
88,11,11,0,0,0.0,100.0,53042.0,356433.0,14.881338147702373
89,22,16,0,0,6.0,72.72727272727273,46794.0,332690.0,14.065346118007755
91,1,0,0,0,1.0,0.0,255253.0,1331182.0,19.174913723292534
